i10-index,location_city,i10-index (recent),location_state,location_latitude,H-index (m),num_pubs,lon,location_longitude,G-index (recent),H-index,location_zip,location_street,# of Pubs (recent),Cited by (recent),lat,Organization,G-index,Cited by,H-index (recent)
0,,0,,,0,1,,,0,0,,,0,0,,Space Telescope Science Institute,0,0,0
7,Syracuse,1,NY,43.040005,0.875,23,,-76.136633,4,7,13244,900 South Crouse Ave.,16,50,,Syracuse University,21,427,4
1,Houghton,1,MI,47.118300,1,4,,-88.546403,0,2,49931-1295,1400 Townsend Drive,4,26,,Michigan Technological University,4,26,2
0,,0,,,0,1,,,,0,,,1,0,,National Oceanic and Atmospheric Administration,0,0,0
4,Lewisburg,3,PA,40.954489,1,8,,-76.886275,7,4,17837,One Dent Drive,7,71,,Bucknell University,8,81,3
0,,0,,,1,3,,,3,3,,,3,12,,University of Alabama,3,12,3
1,,0,,,0.2,2,,,0,1,,,1,0,,Southwest Research Institute,2,10,0
15,Los Angeles,11,CA,34.068892,1.625,59,,-118.443901,19,13,90095-1405,405 Hilgard Ave,53,409,,"University of California, Los Angeles",23,590,10
14,Irvine,12,CA,33.648434,0.929,25,,-117.841248,22,13,92697,501 Aldrich Hall,22,611,,"University of California, Irvine",25,705,12
1,,0,,,0.143,2,,,0,1,,,1,0,,Stockholm University,2,39,0
0,Dahlonega,0,GA,34.530527,1,1,,-83.986574,1,1,30597,82 College Circle,1,4,,University of North Georgia,1,4,1
0,Claremont,0,CA,34.106137,0.333,2,,-117.710594,1,1,91711,301 Platt Blvd.,2,1,,Harvey Mudd College,1,1,1
1,Lincoln,1,NE,40.822272,0.5,12,,-96.702177,6,4,68588,14th and R St,11,33,,"University of Nebraska, Lincoln",7,40,4
1,Cleveland,1,OH,41.500812,0.75,5,,-81.605769,4,3,44106,10900 Euclid Ave,4,16,,Case Western Reserve University,5,24,2
0,,0,,,0,1,,,0,0,,,1,0,,Julich Supercomputing Centre,0,0,0
0,,0,,,1,1,,,1,1,,,1,8,,University of Warmia and Mazury in Olsztyn,1,8,1
0,,0,,,0,1,,,0,0,,,1,0,,COPRO,0,0,0
8,,8,,,1.333,30,,,16,8,,,27,234,,University of South Florida,16,245,8
13,,9,,,1.5,41,,,21,12,,,33,438,,University of Pittsburgh,32,969,9
0,,0,,,2,2,,,2,2,,,2,13,,University of Maryland School of Medicine,2,13,2
2,Rochester,0,NY,43.126437,0.364,6,,-77.631042,3,4,14627-0011,Wilson Blvd. - Wallis Hall,3,14,,University of Rochester,6,83,2
1,,1,,,0.4,3,,,3,2,,,3,22,,Arkansas State University,3,22,2
0,,0,,,0,1,,,0,0,,,1,0,,Paris Institue of Astrophysics,0,0,0
5,,4,,,1.143,10,,,8,8,,,8,84,,Perimeter Institute for Theoretical Physics,10,114,7
1,Rolla,1,MO,37.955853,1.667,9,,-91.775900,7,5,65409,1870 Miner Circle,9,38,,Missouri University of Science and Technology,7,38,5
0,,0,,,1,2,,,1,1,,,2,1,,King Abdullah University of Science and Technology,1,1,1
1,,1,,,1,1,,,1,1,,,1,41,,Freiberg University of Mining and Technology,1,41,1
1,,0,,,1,1,,,0,1,,,0,0,,Max Planck Society,1,101,0
2,Tulsa,1,OK,36.151887,0.429,7,,-95.945175,6,3,74104-3189,800 South Tucker Drive,6,39,,University of Tulsa,7,63,3
0,Grand Forks,0,ND,47.919774,0.2,3,,-97.073451,2,1,58202-8193,"264 Centennial Drive, Stop 8193",2,2,,University of North Dakota,2,2,1
0,Winston-Salem,0,NC,36.135301,0.333,2,,-80.279004,2,1,27106,1834 Wake Forest Road,2,5,,Wake Forest University,2,5,1
0,Melbourne,0,FL,28.064503,1,1,,-80.624628,1,1,32901-6975,150 West University Boulevard,1,9,,Florida Institute of Technology,1,9,1
4,New York,1,NY,40.729452,0.6,14,,-73.997264,7,6,10012-1091,70 Washington Sq South,11,47,,New York University,13,167,4
1,,0,,,1,1,,,0,1,,,0,0,,Ohio Supercomputer Center,1,24,0
0,,0,,,1,1,,,1,1,,,1,4,,Jefferson Medical College,1,4,1
0,,0,,,1,1,,,1,1,,,1,2,,University of North Carolina System Office,1,2,1
0,Atlanta,0,GA,33.748772,1,1,,-84.412818,1,1,30314-4391,"223 James P Brawley Drive, SW",1,2,,Clark Atlanta University,1,2,1
1,,0,,,1,1,,,0,1,,,0,0,,Monash University,1,19,0
0,,0,,,0,1,,,0,0,,,1,0,,Tel Aviv University,0,0,0
0,,0,,,1,1,,,1,1,,,1,9,,The Chinese University of Hong Kong,1,9,1
0,Chestnut Hill,0,MA,42.337688,0,1,,-71.171488,0,0,02467,140 Commonwealth Avenue,1,0,,Boston College,0,0,0
0,Richardson,0,TX,32.989432,0,2,,-96.748371,0,0,75080-3021,800 West Campbell  Road,2,0,,The University of Texas at Dallas,0,0,0
1,Detroit,0,MI,42.358610,0.333,3,,-83.072864,2,2,48202,656 West Kirby Street,2,9,,Wayne State University,3,34,1
0,,0,,,0,1,,,0,0,,,0,0,,Naval Research Laboratory,0,0,0
0,Rohnert Park,0,CA,38.341023,1,1,,-122.673261,1,1,94928-3609,1801 E Cotati Ave,1,4,,Sonoma State University,1,4,1
1,,1,,,1,4,,,4,3,,,4,23,,"University of Colorado, Denver",4,23,3
6,Waltham,5,MA,42.364947,0.75,13,,-71.254716,11,6,02454-9110,415 South St,11,120,,Brandeis University,12,135,5
4,Nashville,4,TN,36.144430,0.714,15,,-86.804875,11,5,37240,2101 West End Avenue,13,120,,Vanderbilt University,11,120,5
17,,13,,,0.812,53,,,26,13,,,48,671,,Georgia Institute of Technology,31,930,11
0,,0,,,0.25,2,,,1,1,,,2,1,,Brigham Young University,1,1,1
1,Houston,0,TX,29.763831,1,4,,-95.359530,3,2,77002-1014,1 Main Street,3,5,,University of Houston-Downtown,4,25,1
0,,0,,,1,1,,,1,1,,,1,3,,Max Planck Institute for Solar System Research,1,3,1
0,,0,,,0,1,,,0,0,,,1,0,,J Craig Venter Institute,0,0,0
1,,0,,,1,1,,,0,1,,,0,0,,National Autonomous University of Mexico,1,36,0
2,,1,,,0.375,6,,,4,3,,,4,16,,University of New Hampshire,6,39,2
2,,1,,,0.5,2,,,1,2,,,1,25,,Nagoya University,2,127,1
0,Albany,0,NY,42.686917,0,1,,-73.825014,0,0,12222,1400 Washington Avenue,1,0,,SUNY at Albany,0,0,0
9,,5,,,0.391,26,,,20,9,,,20,653,,Washington University in St. Louis,26,956,7
1,,1,,,0.5,3,,,3,2,,,3,22,,University of Liverpool,3,22,2
0,,0,,,1,1,,,1,1,,,1,1,,Masaryk University,1,1,1
0,Toledo,0,OH,41.657950,0.333,3,,-83.615225,2,1,43606-3390,2801 W Bancroft,3,4,,University of Toledo,2,4,1
0,,0,,,1,1,,,1,1,,,1,2,,Rutgers University,1,2,1
0,,0,,,0,2,,,0,0,,,2,0,,Julich Research Centre,0,0,0
0,Saint Paul,0,MN,44.936709,1,1,,-93.169855,1,1,55105-1899,1600 Grand Ave,1,3,,Macalester College,1,3,1
1,,1,,,0.667,13,,,7,4,,,12,38,,University of South Carolina,7,41,4
0,,0,,,0.667,7,,,3,2,,,7,8,,SUNY at Buffalo,3,8,2
1,,0,,,0.333,4,,,3,2,,,3,8,,Max Planck Institute for Astronomy,4,27,2
0,Denton,0,TX,33.210958,0.5,2,,-97.151211,2,2,76203-1277,1501 W.Chestnut Ave.,2,5,,University of North Texas,2,5,2
0,Chicago,0,IL,41.999161,0,2,,-87.657399,0,0,60660,1032 W. Sheridan Rd,2,0,,Loyola University Chicago,0,0,0
0,,0,,,1,1,,,1,1,,,1,3,,Ponce Health Sciences University,1,3,1
1,,1,,,0.667,2,,,2,2,,,2,30,,NASA Goddard Space Flight Center,2,30,2
0,Columbia,0,MO,38.941015,0.333,2,,-92.326429,1,2,65211,105 Jesse Hall,1,3,,"University of Missouri, Columbia",2,6,1
28,Pasadena,23,CA,34.139275,1.778,58,,-118.125740,31,16,91125,1200 E California Blvd,52,967,,California Institute of Technology,38,1398,15
10,,3,,,0.769,26,,,8,10,,,14,54,,Argonne National Laboratory,24,540,4
0,,0,,,1,1,,,0,1,,,0,0,,Virginia Institute of Marine Science,1,3,0
1,,0,,,1,1,,,0,1,,,0,0,,University of Nebraska at Lincoln,1,32,0
0,,0,,,0,1,,,0,0,,,1,0,,The Ohio State University,0,0,0
6,New York,5,NY,40.764738,1,10,,-73.954839,9,6,10065,"1300 York Ave, C-118",9,126,,Weill Cornell Medical College,10,136,5
2,Worcester,2,MA,42.275067,1,3,,-71.808792,3,2,01609-2280,100 Institute Road,3,78,,Worcester Polytechnic Institute,3,78,2
0,,0,,,0,1,,,0,0,,,1,0,,Centers for Disease Control and Prevention,0,0,0
0,,0,,,1,1,,,1,1,,,1,7,,North Carolina Museum of Natural Sciences,1,7,1
9,Madison,7,WI,43.073858,1,34,,-89.405356,13,9,53706-1380,500 Lincoln Dr,31,198,,University of Wisconsin-Madison,20,417,8
1,,0,,,0.333,2,,,1,2,,,1,2,,Jet Propulsion Laboratory,2,12,1
10,,6,,,0.714,28,,,14,10,,,21,177,,Louisiana State University,20,367,7
1,Chicago,1,IL,41.833801,0.286,5,,-87.628346,4,2,60616,3300 S Federal St,4,13,,Illinois Institute of Technology,5,17,2
3,Washington,1,DC,38.898650,0.5,12,,-77.047871,5,4,20052,"2121 I Street, NW",9,23,,George Washington University,10,92,2
0,North Dartmouth,0,MA,41.628861,1,1,,-71.005528,0,1,02747-2300,285 Old Westport Rd,0,0,,"University of Massachusetts, Dartmouth",1,2,0
2,Fort Wayne,2,IN,41.115418,1.333,5,,-85.111747,5,4,46805-1499,2101 E Coliseum Blvd,5,37,,Indiana University-Purdue University Fort Wayne,5,37,4
2,Meadville,1,PA,41.648068,0.222,2,,-80.146922,1,2,16335-3902,520 N Main St,1,14,,Allegheny College,2,57,1
10,East Lansing,10,MI,42.732120,2,24,,-84.476111,21,10,48824-1046, ,24,435,,Michigan State University,21,435,10
2,,1,,,0.667,2,,,1,2,,,1,87,,University of Cincinnati,2,97,1
0,Utica,0,NY,43.095183,0.667,3,,-75.272407,2,2,13502-4892,1600 Burrstone Rd,2,2,,Utica College,3,5,1
0,,0,,,0,1,,,0,0,,,1,0,,"Wadsworth Center, New York State Department of Health",0,0,0
1,,1,,,0.333,2,,,2,1,,,2,10,,Armstrong Atlantic State University,2,10,1
0,,0,,,1,1,,,1,1,,,1,1,,University of Science and Technology of China,1,1,1
1,Manhattan,1,KS,39.188616,0.333,2,,-96.581077,2,1,66506,Anderson Hall,2,15,,Kansas State University,2,15,1
1,,1,,,2,2,,,2,2,,,2,19,,Chosun University,2,19,2
1,,0,,,0.167,2,,,1,1,,,1,1,,ETH Zurich,2,37,1
2,San Juan,2,PR,18.403027,0.667,2,,-66.045875,2,2,00931-0000,39 Ponce de Leon  Ave,2,52,,"University of Puerto Rico, Rio Piedras",2,52,2
0,,0,,,1,1,,,1,1,,,1,4,,Stanford University School of Medicine,1,4,1
0,,0,,,1,1,,,1,1,,,1,2,,Center for Ocean-Land-Atmosphere Studies,1,2,1
1,San Luis Obispo,1,CA,35.298890,1,1,,-120.658560,1,1,93407,1 Grand Ave.,1,13,,"California Polytechnic State University, San Luis Obispo",1,13,1
8,Evanston,7,IL,42.058377,0.818,16,,-87.673653,14,9,60208,633 Clark St,15,194,,Northwestern University,16,237,8
1,,0,,,1,1,,,0,1,,,0,0,,Ecole Normale Superieure De Lyon,1,101,0
0,,0,,,1,3,,,3,2,,,3,13,,Bowling Green State University,3,13,2
0,,0,,,1,1,,,1,1,,,1,1,,Nationwide Childrens Hospital Research Institute,1,1,1
7,Riverside,7,CA,33.975880,1.75,16,,-117.331098,16,7,92521,900 University Ave,16,239,,"University of California, Riverside",16,239,7
0,Ann Arbor,0,MI,42.276061,1,1,,-83.743121,1,1,48109,503 Thompson Street,1,5,,"University of Michigan, Ann Arbor",1,5,1
2,San Francisco,0,CA,37.721345,2,2,,-122.477905,0,2,94132,1600 Holloway Ave,0,0,,San Francisco State University,2,35,0
0,Murfreesboro,0,TN,35.849139,1,1,,-86.362094,1,1,37132,1301 East Main Street,1,9,,Middle Tennessee State University,1,9,1
0,,0,,,0.333,6,,,2,1,,,6,4,,Wake Forest School of Medicine,2,4,1
16,New York,16,NY,40.808286,2.333,49,,-73.961885,22,14,10027,West 116 St and Broadway,46,532,,Columbia University in the City of New York,22,537,14
1,,0,,,0.375,5,,,3,3,,,3,11,,"University of Alabama, Huntsville",5,73,2
2,,1,,,0.375,5,,,4,3,,,4,29,,Pacific Northwest National Laboratory,5,56,2
