Organization,num_pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent),lat,lon
Space Telescope Science Institute,1,0,0,0,0,0,0,0,0,0,0,,
Syracuse University,23,16,427,50,7,4,0.875,21,4,7,1,,
Michigan Technological University,4,4,26,26,2,2,1,4,0,1,1,,
National Oceanic and Atmospheric Administration,1,1,0,0,0,0,0,0,,0,0,,
Bucknell University,8,7,81,71,4,3,1,8,7,4,3,,
University of Alabama,3,3,12,12,3,3,1,3,3,0,0,,
Southwest Research Institute,2,1,10,0,1,0,0.2,2,0,1,0,,
"University of California, Los Angeles",59,53,590,409,13,10,1.625,23,19,15,11,,
"University of California, Irvine",25,22,705,611,13,12,0.929,25,22,14,12,,
Stockholm University,2,1,39,0,1,0,0.143,2,0,1,0,,
University of North Georgia,1,1,4,4,1,1,1,1,1,0,0,,
Harvey Mudd College,2,2,1,1,1,1,0.333,1,1,0,0,,
"University of Nebraska, Lincoln",12,11,40,33,4,4,0.5,7,6,1,1,,
Case Western Reserve University,5,4,24,16,3,2,0.75,5,4,1,1,,
Julich Supercomputing Centre,1,1,0,0,0,0,0,0,0,0,0,,
University of Warmia and Mazury in Olsztyn,1,1,8,8,1,1,1,1,1,0,0,,
COPRO,1,1,0,0,0,0,0,0,0,0,0,,
University of South Florida,30,27,245,234,8,8,1.333,16,16,8,8,,
University of Pittsburgh,41,33,969,438,12,9,1.5,32,21,13,9,,
University of Maryland School of Medicine,2,2,13,13,2,2,2,2,2,0,0,,
University of Rochester,6,3,83,14,4,2,0.364,6,3,2,0,,
Arkansas State University,3,3,22,22,2,2,0.4,3,3,1,1,,
Paris Institue of Astrophysics,1,1,0,0,0,0,0,0,0,0,0,,
Perimeter Institute for Theoretical Physics,10,8,114,84,8,7,1.143,10,8,5,4,,
Missouri University of Science and Technology,9,9,38,38,5,5,1.667,7,7,1,1,,
King Abdullah University of Science and Technology,2,2,1,1,1,1,1,1,1,0,0,,
Freiberg University of Mining and Technology,1,1,41,41,1,1,1,1,1,1,1,,
Max Planck Society,1,0,101,0,1,0,1,1,0,1,0,,
University of Tulsa,7,6,63,39,3,3,0.429,7,6,2,1,,
University of North Dakota,3,2,2,2,1,1,0.2,2,2,0,0,,
Wake Forest University,2,2,5,5,1,1,0.333,2,2,0,0,,
Florida Institute of Technology,1,1,9,9,1,1,1,1,1,0,0,,
New York University,14,11,167,47,6,4,0.6,13,7,4,1,,
Ohio Supercomputer Center,1,0,24,0,1,0,1,1,0,1,0,,
Jefferson Medical College,1,1,4,4,1,1,1,1,1,0,0,,
University of North Carolina System Office,1,1,2,2,1,1,1,1,1,0,0,,
Clark Atlanta University,1,1,2,2,1,1,1,1,1,0,0,,
Monash University,1,0,19,0,1,0,1,1,0,1,0,,
Tel Aviv University,1,1,0,0,0,0,0,0,0,0,0,,
The Chinese University of Hong Kong,1,1,9,9,1,1,1,1,1,0,0,,
Boston College,1,1,0,0,0,0,0,0,0,0,0,,
The University of Texas at Dallas,2,2,0,0,0,0,0,0,0,0,0,,
Wayne State University,3,2,34,9,2,1,0.333,3,2,1,0,,
Naval Research Laboratory,1,0,0,0,0,0,0,0,0,0,0,,
Sonoma State University,1,1,4,4,1,1,1,1,1,0,0,,
"University of Colorado, Denver",4,4,23,23,3,3,1,4,4,1,1,,
Brandeis University,13,11,135,120,6,5,0.75,12,11,6,5,,
Vanderbilt University,15,13,120,120,5,5,0.714,11,11,4,4,,
Georgia Institute of Technology,53,48,930,671,13,11,0.812,31,26,17,13,,
Brigham Young University,2,2,1,1,1,1,0.25,1,1,0,0,,
