i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
0,,1,,,0,0,,0,0,,,0,0,0,Space Telescope Science Institute,0,0
7,Syracuse,23,NY,43.040005,0.875,4,-76.136633,4,7,13244,900 South Crouse Ave.,1,16,50,Syracuse University,21,427
1,Houghton,4,MI,47.118300,1,2,-88.546403,0,2,49931-1295,1400 Townsend Drive,1,4,26,Michigan Technological University,4,26
0,,1,,,0,0,,,0,,,0,1,0,National Oceanic and Atmospheric Administration,0,0
4,Lewisburg,8,PA,40.954489,1,3,-76.886275,7,4,17837,One Dent Drive,3,7,71,Bucknell University,8,81
0,Tuscaloosa,3,AL,33.214400,1,3,-87.545766,3,3,35487-0166,739 University Blvd,0,3,12,University of Alabama,3,12
1,,2,,,0.2,0,,0,1,,,0,1,0,Southwest Research Institute,2,10
15,Los Angeles,59,CA,34.068892,1.625,10,-118.443901,19,13,90095-1405,405 Hilgard Ave,11,53,409,"University of California, Los Angeles",23,590
14,Irvine,25,CA,33.648434,0.929,12,-117.841248,22,13,92697,501 Aldrich Hall,12,22,611,"University of California, Irvine",25,705
1,,2,,,0.143,0,,0,1,,,0,1,0,Stockholm University,2,39
0,Dahlonega,1,GA,34.530527,1,1,-83.986574,1,1,30597,82 College Circle,0,1,4,University of North Georgia,1,4
0,Claremont,2,CA,34.106137,0.333,1,-117.710594,1,1,91711,301 Platt Blvd.,0,2,1,Harvey Mudd College,1,1
1,Lincoln,12,NE,40.822272,0.5,4,-96.702177,6,4,68588,14th and R St,1,11,33,"University of Nebraska, Lincoln",7,40
1,Cleveland,5,OH,41.500812,0.75,2,-81.605769,4,3,44106,10900 Euclid Ave,1,4,16,Case Western Reserve University,5,24
0,,1,,,0,0,,0,0,,,0,1,0,Julich Supercomputing Centre,0,0
0,,1,,,1,1,,1,1,,,0,1,8,University of Warmia and Mazury in Olsztyn,1,8
0,,1,,,0,0,,0,0,,,0,1,0,COPRO,0,0
8,Tampa,30,FL,28.056647,1.333,8,-82.415876,16,8,33620-9951,4202 East Fowler Ave,8,27,234,University of South Florida,16,245
13,Pittsburgh,41,PA,40.444502,1.5,9,-79.954692,21,12,15260,4200 Fifth Avenue,9,33,438,University of Pittsburgh,32,969
0,Baltimore,2,MD,39.291510,2,2,-76.625041,2,2,21201-1627,620 West Lexington St,0,2,13,University of Maryland School of Medicine,2,13
2,Rochester,6,NY,43.126437,0.364,2,-77.631042,3,4,14627-0011,Wilson Blvd. - Wallis Hall,0,3,14,University of Rochester,6,83
1,Jonesboro,3,AR,35.842779,0.4,2,-90.680478,3,2,72401,2105 E. Aggie Road,1,3,22,Arkansas State University,3,22
0,,1,,,0,0,,0,0,,,0,1,0,Paris Institue of Astrophysics,0,0
5,,10,,,1.143,7,,8,8,,,4,8,84,Perimeter Institute for Theoretical Physics,10,114
1,Rolla,9,MO,37.955853,1.667,5,-91.775900,7,5,65409,1870 Miner Circle,1,9,38,Missouri University of Science and Technology,7,38
0,Bristol,2,TN,36.585899,1,1,-82.156532,1,1,37620-2699,1350 King College Rd,0,2,1,King Abdullah University of Science and Technology,1,1
1,Socorro,1,NM,34.066035,1,1,-106.907491,1,1,87801,801 Leroy Place,1,1,41,Freiberg University of Mining and Technology,1,41
1,,1,,,1,0,,0,1,,,0,0,0,Max Planck Society,1,101
2,Tulsa,7,OK,36.151887,0.429,3,-95.945175,6,3,74104-3189,800 South Tucker Drive,1,6,39,University of Tulsa,7,63
0,Grand Forks,3,ND,47.919774,0.2,1,-97.073451,2,1,58202-8193,"264 Centennial Drive, Stop 8193",0,2,2,University of North Dakota,2,2
0,Winston-Salem,2,NC,36.135301,0.333,1,-80.279004,2,1,27106,1834 Wake Forest Road,0,2,5,Wake Forest University,2,5
0,Melbourne,1,FL,28.064503,1,1,-80.624628,1,1,32901-6975,150 West University Boulevard,0,1,9,Florida Institute of Technology,1,9
4,New York,14,NY,40.729452,0.6,4,-73.997264,7,6,10012-1091,70 Washington Sq South,1,11,47,New York University,13,167
1,Valley View,1,OH,41.393850,1,0,-81.615631,0,1,44125-4220,"9885 Rockside Rd., Suite 160",0,0,0,Ohio Supercomputer Center,1,24
0,Hillsboro,1,MO,38.259889,1,1,-90.558954,1,1,63050-2440,1000 Viking Drive,0,1,4,Jefferson Medical College,1,4
0,Chapel Hill,1,NC,35.909446,1,1,-79.030578,1,1,27515-2688,910 Raleigh Rd,0,1,2,University of North Carolina System Office,1,2
0,Atlanta,1,GA,33.748772,1,1,-84.412818,1,1,30314-4391,"223 James P Brawley Drive, SW",0,1,2,Clark Atlanta University,1,2
1,,1,,,1,0,,0,1,,,0,0,0,Monash University,1,19
0,,1,,,0,0,,0,0,,,0,1,0,Tel Aviv University,0,0
0,Los Angeles,1,CA,33.992900,1,1,-118.442947,1,1,90066,13315 W. Washington Boulevard,0,1,9,The Chinese University of Hong Kong,1,9
0,Chestnut Hill,1,MA,42.337688,0,0,-71.171488,0,0,02467,140 Commonwealth Avenue,0,1,0,Boston College,0,0
0,Richardson,2,TX,32.989432,0,0,-96.748371,0,0,75080-3021,800 West Campbell  Road,0,2,0,The University of Texas at Dallas,0,0
1,Detroit,3,MI,42.358610,0.333,1,-83.072864,2,2,48202,656 West Kirby Street,0,2,9,Wayne State University,3,34
0,,1,,,0,0,,0,0,,,0,0,0,Naval Research Laboratory,0,0
0,Rohnert Park,1,CA,38.341023,1,1,-122.673261,1,1,94928-3609,1801 E Cotati Ave,0,1,4,Sonoma State University,1,4
1,Denver,4,CO,39.746030,1,3,-104.999181,4,3,80217-3364,"1380 Lawrence Street, Lawrence Street Center, Suite 1400",1,4,23,"University of Colorado, Denver",4,23
6,Waltham,13,MA,42.364947,0.75,5,-71.254716,11,6,02454-9110,415 South St,5,11,120,Brandeis University,12,135
4,Nashville,15,TN,36.144430,0.714,5,-86.804875,11,5,37240,2101 West End Avenue,4,13,120,Vanderbilt University,11,120
17,Atlanta,53,GA,33.773732,0.812,11,-84.396019,26,13,30332-0530,225 North Ave,13,48,671,Georgia Institute of Technology,31,930
0,Provo,2,UT,40.250851,0.25,1,-111.649281,1,1,84602,Main Campus,0,2,1,Brigham Young University,1,1
1,Houston,4,TX,29.763831,1,1,-95.359530,3,2,77002-1014,1 Main Street,0,3,5,University of Houston-Downtown,4,25
0,,1,,,1,1,,1,1,,,0,1,3,Max Planck Institute for Solar System Research,1,3
0,East Lansing,1,MI,42.735042,0,0,-84.480490,0,0,48823,331 East Grand River Ave,0,1,0,J Craig Venter Institute,0,0
1,,1,,,1,0,,0,1,,,0,0,0,National Autonomous University of Mexico,1,36
2,Durham,6,NH,43.134235,0.375,2,-70.934512,4,3,03824-3547,"105 Main St., Thompson Hall",1,4,16,University of New Hampshire,6,39
2,,2,,,0.5,1,,1,2,,,1,1,25,Nagoya University,2,127
0,Albany,1,NY,42.686917,0,0,-73.825014,0,0,12222,1400 Washington Avenue,0,1,0,SUNY at Albany,0,0
9,Saint Louis,26,MO,38.648125,0.391,7,-90.311639,20,9,63130-4899,One Brookings Drive,5,20,653,Washington University in St. Louis,26,956
